Scattering Amplitude: Angle, Real Part, Imaginary Part
Random rotation
0 4058.03 20731.5
0.0174533 10191.9 18290.9
0.0349066 14777.1 13960.4
0.0523599 17298.5 8604.66
0.0698132 17676.3 3160.67
0.0872665 16220.6 -1559.84
0.10472 13507.4 -5009.82
0.122173 10220.5 -6966.82
0.139626 6998.22 -7513.65
0.15708 4320.4 -6959.48
0.174533 2450.88 -5730.35
0.191986 1437.08 -4259.69
0.20944 1153.85 -2902.23
0.226893 1372.24 -1884.52
0.244346 1832.45 -1293.83
0.261799 2304.65 -1098.45
0.279253 2627.81 -1187.18
0.296706 2724.02 -1414.76
0.314159 2591.81 -1642.27
0.331613 2285.43 -1765.34
0.349066 1888.09 -1727.63
0.366519 1486.42 -1520.9
0.383972 1151.01 -1175.15
0.401426 925.285 -743.695
0.418879 822.685 -287.472
0.436332 830.486 138.099
0.453786 917.666 491.858
0.471239 1044.26 750.778
0.488692 1170.05 909.606
0.506145 1261.28 977.48
0.523599 1294.61 972.972
0.541052 1258.55 918.861
0.558505 1152.71 837.6
0.575959 985.692 748.043
0.593412 772.197 663.632
0.610865 530.13 591.91
0.628319 278.02 535.1
0.645772 33.0485 491.343
0.663225 -190.26 456.257
0.680678 -380.732 424.49
0.698132 -530.749 391.055
0.715585 -636.121 352.3
0.733038 -695.753 306.481
0.750492 -711.238 253.922
0.767945 -686.427 196.837
0.785398 -627.014 138.871
0.802851 -540.142 84.4639
0.820305 -433.995 38.131
0.837758 -317.365 3.74431
0.855211 -199.159 -16.0906
0.872665 -87.8543 -20.4905
0.890118 9.09619 -10.5205
0.907571 85.8478 10.8504
0.925025 138.686 39.0757
0.942478 166.396 68.6205
0.959931 170.406 93.7517
0.977384 154.619 109.433
0.994838 124.919 112.19
1.01229 88.338 100.801
1.02974 51.9795 76.6548
1.0472 21.8206 43.664
1.06465 1.5982 7.67465
1.0821 -8.00611 -24.6038
1.09956 -9.66368 -47.0121
1.11701 -9.02632 -55.4623
1.13446 -13.6369 -49.2563
1.15192 -31.2265 -31.8625
1.16937 -67.6631 -10.8622
1.18682 -124.962 3.09446
1.20428 -199.841 -1.71896
1.22173 -283.282 -35.4492
1.23918 -361.408 -103.855
1.25664 -417.733 -206.011
1.27409 -436.464 -333.193
1.29154 -406.261 -469.446
1.309 -323.548 -593.996
1.32645 -194.477 -685.202
1.3439 -34.8225 -725.266
1.36136 132.479 -704.611
1.37881 281.791 -624.716
1.39626 390.317 -498.495
1.41372 443.331 -347.853
1.43117 437.658 -198.843
1.44862 382.32 -75.5927
1.46608 295.988 5.36621
1.48353 201.876 38.704
1.50098 121.5 30.7282
1.51844 69.1969 -3.51402
1.53589 49.128 -45.534
1.55334 55.6771 -79.3225
1.5708 77.0064 -95.8621
1.58825 100.362 -94.683
1.6057 117.051 -82.0236
1.62316 125.13 -66.4957
1.64061 128.761 -54.194
1.65806 134.617 -45.463
1.67552 147.065 -34.8542
1.69297 164.477 -14.3877
1.71042 178.656 21.35
1.72788 177.988 70.7687
1.74533 153.107 123.915
1.76278 102.5 165.342
1.78024 35.1295 180.372
1.79769 -31.7062 162.088
1.81514 -78.9131 115.659
1.8326 -93.9368 57.4698
1.85005 -77.0219 8.77151
1.8675 -42.0404 -13.7501
1.88496 -10.7815 -6.22192
1.90241 -2.70362 19.5839
1.91986 -24.6649 40.931
1.93732 -65.7515 34.9583
1.95477 -100.468 -8.90626
1.97222 -99.8554 -80.9138
1.98968 -46.1649 -151.925
2.00713 55.5599 -184.119
2.02458 174.983 -147.705
2.04204 265.455 -36.6014
2.05949 281.807 124.27
2.07694 200.002 284.321
2.0944 30.2416 384.252
2.11185 -182.66 378.428
2.1293 -372.724 253.782
2.14675 -475.407 37.3717
2.16421 -450.776 -210.823
2.18166 -298.339 -417.391
2.19911 -57.9268 -519.932
2.21657 203.401 -487.4
2.23402 413.222 -329.229
2.25147 516.235 -90.7309
2.26893 489.703 162.584
2.28638 347.484 365.477
2.30383 132.743 471.174
2.32129 -96.8108 462.003
2.33874 -285.658 350.58
2.35619 -394.137 172.86
2.37365 -406.045 -23.5641
2.3911 -329.511 -192.146
2.40855 -192.216 -298.008
2.42601 -32.9354 -324.663
2.44346 108.468 -276.086
2.46091 200.584 -174.117
2.47837 227.632 -51.8621
2.49582 192.646 55.5662
2.51327 115.658 120.794
2.53073 27.0411 131.771
2.54818 -42.3284 94.7523
2.56563 -71.1127 31.4255
2.58309 -54.3717 -29.1566
2.60054 -4.67832 -61.2163
2.61799 53.1021 -51.6832
2.63545 91.5839 -4.88153
2.6529 91.5727 59.3783
2.67035 49.6379 113.659
2.68781 -20.3919 133.735
2.70526 -92.6201 108.252
2.72271 -138.986 43.4991
2.74017 -140.105 -38.5509
2.75762 -92.9396 -108.163
2.77507 -12.4484 -138.76
2.79253 73.3605 -116.788
2.80998 133.112 -46.9714
2.82743 142.981 48.8474
2.84489 95.008 138.766
2.86234 0.054564 191.224
2.87979 -115.442 185.184
2.89725 -217.624 116.777
2.9147 -275.471 0.451935
2.93215 -269.854 -135.454
2.94961 -198.705 -257.047
2.96706 -77.0202 -334.356
2.98451 67.8929 -349.125
3.00197 204.178 -298.838
3.01942 303.728 -196.209
3.03687 348.701 -64.7849
3.05433 334.707 67.7299
3.07178 270.26 176.342
3.08923 173.164 244.036
3.10669 65.2215 264.334
3.12414 -33.1046 240.942
3.14159 -106.746 185.1
Random rotation
0 4552.86 20720.8
0.0174533 10644.1 18161.2
0.0349066 15163.5 13746.1
0.0523599 17616.1 8337.92
0.0698132 17935.2 2862.22
0.0872665 16433.7 -1883.15
0.10472 13682.6 -5362.05
0.122173 10356 -7356.46
0.139626 7082.81 -7946.56
0.15708 4337.39 -7433.62
0.174533 2383.79 -6233.91
0.191986 1275.29 -4772.58
0.20944 896.355 -3400.14
0.226893 1028.74 -2344.18
0.244346 1421.79 -1697.9
0.261799 1851.24 -1438.86
0.279253 2157.08 -1466.42
0.296706 2258.11 -1644.99
0.314159 2146.22 -1842.75
0.331613 1867.17 -1958.9
0.349066 1495.52 -1936.92
0.366519 1110.53 -1765.08
0.383972 777.663 -1467.52
0.401426 538.035 -1090.43
0.418879 405.609 -687.509
0.436332 370.633 -307.748
0.453786 406.867 12.5852
0.471239 480.165 253.468
0.488692 556.396 410.677
0.506145 607.415 492.583
0.523599 614.52 515.538
0.541052 569.49 499.104
0.558505 473.676 461.999
0.575959 335.846 419.281
