Scattering Cross-Section: Angle, Cross-section
Random rotation
0 4.46264e+08
0.0174533 4.38431e+08
0.0349066 4.13255e+08
0.0523599 3.73277e+08
0.0698132 3.22443e+08
0.0872665 2.65541e+08
0.10472 2.07549e+08
0.122173 1.52995e+08
0.139626 1.0543e+08
0.15708 6.71001e+07
0.174533 3.88437e+07
0.191986 2.02102e+07
0.20944 9.75434e+06
0.226893 5.43446e+06
0.244346 5.03186e+06
0.261799 6.51801e+06
0.279253 8.31477e+06
0.296706 9.42181e+06
0.314159 9.41456e+06
0.331613 8.33963e+06
0.349066 6.5496e+06
0.366519 4.52259e+06
0.383972 2.70581e+06
0.401426 1.40923e+06
0.418879 759450
0.436332 708779
0.453786 1.08403e+06
0.471239 1.65414e+06
0.488692 2.19641e+06
0.506145 2.5463e+06
0.523599 2.62269e+06
0.541052 2.42825e+06
0.558505 2.03032e+06
0.575959 1.53116e+06
0.593412 1.0367e+06
0.610865 631396
0.628319 363627
0.645772 242510
0.663225 244369
0.680678 325149
0.698132 434619
0.715585 528765
0.733038 578002
0.750492 570336
0.767945 509927
0.785398 412432
0.802851 298887
0.820305 189805
0.837758 100734
0.855211 39923.3
0.872665 8138.24
0.890118 193.422
0.907571 7487.58
0.925025 20760.7
0.942478 32396.5
0.959931 37827.4
0.977384 35882.5
0.994838 28191.3
1.01229 17964.5
1.02974 8577.83
1.0472 2382.68
1.06465 61.4545
1.0821 669.446
1.09956 2303.52
1.11701 3157.54
1.13446 2612.15
1.15192 1990.31
1.16937 4696.28
1.18682 15625.1
1.20428 39939.4
1.22173 81505.1
1.23918 141402
1.25664 216941
1.27409 301518
1.29154 385427
1.309 457515
1.32645 507323
1.3439 527224
1.36136 514027
1.37881 469677
1.39626 400845
1.41372 317544
1.43117 231084
1.44862 151883
1.46608 87637.6
1.48353 42252
1.50098 15706.4
1.51844 4800.56
1.53589 4486.9
1.55334 9392
1.5708 15119.5
1.58825 19037.4
1.6057 20428.9
1.62316 20079.3
1.64061 19516.3
1.65806 20188.6
1.67552 22843
1.69297 27259.6
1.71042 32373.9
1.72788 36687.8
1.74533 38796.5
1.76278 37844.2
1.78024 33768.2
1.79769 27277.8
1.81514 19604.2
1.8326 12126.9
1.85005 6009.31
1.8675 1956.46
1.88496 154.952
1.90241 390.838
1.91986 2283.7
1.93732 5545.34
1.95477 10173.2
1.97222 16518.1
1.98968 25212.5
2.00713 36986.7
2.02458 52435.8
2.04204 71806
2.05949 94857.9
2.07694 120839
2.0944 148564
2.11185 176572
2.1293 203328
2.14675 227408
2.16421 247646
2.18166 263221
2.19911 273684
2.21657 278930
2.23402 279145
2.25147 274731
2.26893 266243
2.28638 254318
2.30383 239625
2.32129 222819
2.33874 204507
2.35619 185224
2.37365 165428
2.3911 145498
2.40855 125756
2.42601 106491
2.44346 87988.6
2.46091 70550.8
2.47837 54506.2
2.49582 40200.2
2.51327 27968.1
2.53073 18094.8
2.54818 10769.7
2.56563 6044.58
2.58309 3806.39
2.60054 3769.33
2.61799 5490.99
2.63545 8411.44
2.6529 11911.3
2.67035 15382.3
2.68781 18300.8
2.70526 20297.1
2.72271 21209.3
2.74017 21115.6
2.75762 20337.1
2.77507 19409.3
2.79253 19021.2
2.80998 19925.2
2.82743 22829.6
2.84489 28282.5
2.86234 36566.6
2.87979 47619.8
2.89725 60997
2.9147 75884.7
2.93215 91169.3
2.94961 105557
2.96706 117726
2.98451 126498
3.00197 130993
3.01942 130749
3.03687 125790
3.05433 116616
3.07178 104137
3.08923 89539.4
3.10669 74126.5
3.12414 59148.8
3.14159 45656.9
Random rotation
0 4.50082e+08
0.0174533 4.43125e+08
0.0349066 4.18888e+08
0.0523599 3.79849e+08
0.0698132 3.29863e+08
0.0872665 2.73611e+08
0.10472 2.15965e+08
0.122173 1.61364e+08
0.139626 1.13314e+08
0.15708 7.40717e+07
0.174533 4.45442e+07
0.191986 2.44038e+07
0.20944 1.23644e+07
0.226893 6.5535e+06
0.244346 4.90435e+06
0.261799 5.49741e+06
0.279253 6.80339e+06
0.296706 7.80507e+06
0.314159 8.00201e+06
0.331613 7.32361e+06
0.349066 5.98825e+06
0.366519 4.34878e+06
0.383972 2.75837e+06
0.401426 1.47853e+06
0.418879 637187
0.436332 232078
0.453786 165699
0.471239 294804
0.488692 478233
0.506145 611591
0.523599 643414
0.541052 573424
0.558505 437812
0.575959 288589
0.593412 173814
0.610865 123699
0.628319 144878
0.645772 222499
0.663225 327856
0.680678 428348
0.698132 496665
0.715585 516941
0.733038 486889
0.750492 416141
0.767945 321917
0.785398 223611
0.802851 137837
0.820305 75057.9
0.837758 38338
0.855211 24154.3
0.872665 24696.7
0.890118 30850.4
0.907571 35014
0.925025 33085.6
0.942478 25243.4
0.959931 15483.7
